FID,NAME,FIRST_FIPS,OBJECTID,FEATURE_AR,FEATURE_LE,FDOTDistr,DistrictSt,DEPCODE,DEPCODENUM,DCode,County,FDOTCounty,SHAPE_Leng,SHAPE_Area
"1",Taylor,"123","62",0.000000000000000,0.000000000000000,"2",Two,"62","62",D2,Taylor,"38",382828.103846643178258,-3643509035.000000000000000
"2",Union,"125","63",0.000000000000000,0.000000000000000,"2",Two,"63","63",D2,Union,"39",146508.218386080377968,-866019846.500000000000000
"3",Volusia,"127","64",0.000000000000000,0.000000000000000,"5",Five,"64","64",D5,Volusia,"79",1214275.114071074407548,-4160390023.500000000000000
"4",Wakulla,"129","65",0.000000000000000,0.000000000000000,"3",Three,"65","65",D3,Wakulla,"59",512693.942704915127251,-2147839256.500000000000000
"5",Walton,"131","66",0.000000000000000,0.000000000000000,"3",Three,"66","66",D3,Walton,"60",446360.597960043058265,-3755940065.500000000000000
"6",Washington,"133","67",0.000000000000000,0.000000000000000,"3",Three,"67","67",D3,Washington,"61",277515.778774761012755,-2160351310.000000000000000
"7",Madison,"079","39",0.000000000000000,0.000000000000000,"2",Two,"40","40",D2,Madison,"35",254118.997606017917860,-2502483793.500000000000000
"8",Manatee,"081","40",0.000000000000000,0.000000000000000,"1",One,"41","41",D1,Manatee,"13",509277.628631373750977,-2520516469.500000000000000
"9",Marion,"083","41",0.000000000000000,0.000000000000000,"5",Five,"42","42",D5,Marion,"36",402139.673774347698782,-5671565755.000000000000000
"10",Martin,"085","42",0.000000000000000,0.000000000000000,"4",Four,"43","43",D4,Martin,"89",294795.015459895948879,-2183063378.000000000000000
"11",Miami-Dade,"086","43",0.000000000000000,0.000000000000000,"6",Six,"13","13",D6,Miami-Dade,"87",951527.942914080922492,-6347707493.500000000000000
"12",Monroe,"087","44",0.000000000000000,0.000000000000000,"6",Six,"44","44",D6,Monroe,"90",3304357.210568684153259,-3393832208.289177417755127
"13",Nassau,"089","45",0.000000000000000,0.000000000000000,"2",Two,"45","45",D2,Nassau,"74",375520.934177946182899,-2332889968.000000000000000
"14",Okaloosa,"091","46",0.000000000000000,0.000000000000000,"3",Three,"46","46",D3,Okaloosa,"57",400206.729661998688243,-3314443622.000000000000000
"15",Okeechobee,"093","47",0.000000000000000,0.000000000000000,"1",One,"47","47",D1,Okeechobee,"91",309156.998984761303291,-2941471632.000000000000000
"16",Orange,"095","48",0.000000000000000,0.000000000000000,"5",Five,"48","48",D5,Orange,"75",315250.675774863047991,-3378451815.000000000000000
"17",Osceola,"097","49",0.000000000000000,0.000000000000000,"5",Five,"49","49",D5,Osceola,"92",400244.759972620464396,-5029178654.500000000000000
"18",Palm Beach,"099","50",0.000000000000000,0.000000000000000,"4",Four,"50","50",D4,Palm Beach,"93",540059.092484603170305,-7210429312.500000000000000
"19",Pasco,"101","51",0.000000000000000,0.000000000000000,"7",Seven,"51","51",D7,Pasco,"14",334805.697686233499553,-2565226674.000000000000000
"20",Pinellas,"103","52",0.000000000000000,0.000000000000000,"7",Seven,"52","52",D7,Pinellas,"15",944662.124142991844565,-963014893.500000000000000
"21",Polk,"105","53",0.000000000000000,0.000000000000000,"1",One,"53","53",D1,Polk,"16",442444.099170981498901,-6700291596.000000000000000
"22",Putnam,"107","54",0.000000000000000,0.000000000000000,"2",Two,"54","54",D2,Putnam,"76",268177.011369316081982,-2845029835.000000000000000
"23",Santa Rosa,"113","55",0.000000000000000,0.000000000000000,"3",Three,"55","55",D3,Santa Rosa,"58",533184.079698771820404,-3602608560.000000000000000
"24",Sarasota,"115","56",0.000000000000000,0.000000000000000,"1",One,"56","56",D1,Sarasota,"17",435432.852474357117899,-1901547373.500000000000000
"25",Seminole,"117","57",0.000000000000000,0.000000000000000,"5",Five,"57","57",D5,Seminole,"77",180709.532665632432327,-1165497976.500000000000000
"26",St Johns,"109","58",0.000000000000000,0.000000000000000,"2",Two,"58","58",D2,St Johns,"78",386193.943486410891637,-2294351155.500000000000000
"27",St Lucie,"111","59",0.000000000000000,0.000000000000000,"4",Four,"59","59",D4,St Lucie,"94",349478.310143416805658,-1906968415.000000000000000
"28",Sumter,"119","60",0.000000000000000,0.000000000000000,"5",Five,"60","60",D5,Sumter,"18",259968.387548650149256,-1960948896.000000000000000
"29",Suwannee,"121","61",0.000000000000000,0.000000000000000,"2",Two,"61","61",D2,Suwannee,"37",257646.313903731381288,-2406892033.000000000000000
"30",Alachua,"001","1",0.000000000000000,0.000000000000000,"2",Two,"1","1",D2,Alachua,"26",312775.429166510642972,-3337608254.500000000000000
"31",Baker,"003","2",0.000000000000000,0.000000000000000,"2",Two,"2","2",D2,Baker,"27",216983.410116899060085,-2053616675.000000000000000
"32",Bay,"005","3",0.000000000000000,0.000000000000000,"3",Three,"3","3",D3,Bay,"46",920244.497947275056504,-2698928006.500000000000000
"33",Bradford,"007","4",0.000000000000000,0.000000000000000,"2",Two,"4","4",D2,Bradford,"28",191584.931683983159019,-1038586898.500000000000000
"34",Brevard,"009","5",0.000000000000000,0.000000000000000,"5",Five,"5","5",D5,Brevard,"70",1279645.652969581540674,-3536863862.500000000000000
"35",Broward,"011","6",0.000000000000000,0.000000000000000,"4",Four,"6","6",D4,Broward,"86",408834.084287850535475,-3945802900.500000000000000
"36",Calhoun,"013","7",0.000000000000000,0.000000000000000,"3",Three,"7","7",D3,Calhoun,"47",222387.895341956755146,-2006459113.000000000000000
"37",Charlotte,"015","8",0.000000000000000,0.000000000000000,"1",One,"8","8",D1,Charlotte,"01",708016.902102890191600,-2378437916.000000000000000
"38",Citrus,"017","9",0.000000000000000,0.000000000000000,"7",Seven,"9","9",D7,Citrus,"02",1241787.556098889792338,-2122850251.500000000000000
"39",Clay,"019","10",0.000000000000000,0.000000000000000,"2",Two,"10","10",D2,Clay,"71",212488.211052212427603,-2229871239.000000000000000
"40",Collier,"021","11",0.000000000000000,0.000000000000000,"1",One,"11","11",D1,Collier,"03",1248848.240189829375595,-6585078256.500000000000000
"41",Columbia,"023","12",0.000000000000000,0.000000000000000,"2",Two,"12","12",D2,Columbia,"29",318728.103659664164297,-2787730001.000000000000000
"42",DeSoto,"027","13",0.000000000000000,0.000000000000000,"1",One,"14","14",D1,DeSoto,"04",187160.587808946496807,-2101526521.500000000000000
"43",Dixie,"029","14",0.000000000000000,0.000000000000000,"2",Two,"15","15",D2,Dixie,"30",420965.682466861268040,-2459454727.500000000000000
"44",Duval,"031","15",0.000000000000000,0.000000000000000,"2",Two,"16","16",D2,Duval,"72",278724.166029632790014,-2971586181.000000000000000
"45",Escambia,"033","16",0.000000000000000,0.000000000000000,"3",Three,"17","17",D3,Escambia,"48",585484.887313567218371,-2360204162.500000000000000
"46",Flagler,"035","17",0.000000000000000,0.000000000000000,"5",Five,"18","18",D5,Flagler,"73",188639.842448261100799,-1740749443.500000000000000
"47",Franklin,"037","18",0.000000000000000,0.000000000000000,"3",Three,"19","19",D3,Franklin,"49",680913.656944935908541,-1913002968.647649765014648
"48",Gadsden,"039","19",0.000000000000000,0.000000000000000,"3",Three,"20","20",D3,Gadsden,"50",238445.729903102212120,-1851782019.500000000000000
"49",Gilchrist,"041","20",0.000000000000000,0.000000000000000,"2",Two,"21","21",D2,Gilchrist,"31",170581.845972051785793,-1225083117.500000000000000
"50",Glades,"043","21",0.000000000000000,0.000000000000000,"1",One,"22","22",D1,Glades,"05",265663.088030120474286,-3227084957.000000000000000
"51",Gulf,"045","22",0.000000000000000,0.000000000000000,"3",Three,"23","23",D3,Gulf,"51",347886.570194436586462,-1970518817.000000000000000
"52",Hamilton,"047","23",0.000000000000000,0.000000000000000,"2",Two,"24","24",D2,Hamilton,"32",268545.382840241189115,-1816713582.500000000000000
"53",Hardee,"049","24",0.000000000000000,0.000000000000000,"1",One,"25","25",D1,Hardee,"06",186929.671269005397335,-2109273792.500000000000000
"54",Hendry,"051","25",0.000000000000000,0.000000000000000,"1",One,"26","26",D1,Hendry,"07",325342.670667519560084,-3866807630.000000000000000
